Facility Name,Facility Type,Thermal capacity (MWth),Reference Unit Power (MWe),Thermal efficiency % ,T Gaseous Release in 2021 (Ci),T Liquid Release in 2021 (Ci),T Gaseous Release in 2020 (Ci),T Liquid Release in 2020 (Ci),T Gaseous Release in 2019 (Ci),T Liquid Release in 2019 (Ci),T Gaseous Release in 2018 (Ci),T Liquid Release in 2018 (Ci),T Gaseous Release in 2017 (Ci),T Liquid Release in 2017 (Ci),T Gaseous Release in 2016 (Ci),T Liquid Release in 2016 (Ci),2021 Generation (MWh),2020 Generation (MWh),2019 Generation (MWh),2018 Generation (MWh),2017 Generation (MWh),2016 Generation (MWh),First Grid Connection,State,Model,Containment Types,Reactor Type,BWR Type,Number of Loops,Mark,Freshwater (F) or saltwater (S)? ,nickname,Plant ID,Cooling Type,Add in flow basis stuff
Ginna,PWR,1775,560,31.54929577,159,368,105,314,116,630,67.2,482,40,542,55.7,262,4727764,4332888,4993693,4689440,4697675,5070323,1969,NY,W (2-loop),DRYAMB,W,N/A,2,N/A,F,GN1,23,ON,
Harris,PWR,2900,964,33.24137931,117,418,117,210,70.3,613,115,428,84.8,291,80.4,777,7986733,8275593,7610594,7587914,8208573,7513051,1987,NC,W (3-loop) DRYAMB,DRYAMB,W,N/A,3,N/A,F,HA1,24,RN,
McGuire 1,PWR,3411,1158,33.94898857,43.3,587,54.8,585,39.2,542,60.2,508,48.5,860,40.2,449,10361236,9434118,9271862,10359250,9646267,9515883,1981,NC,W (4-loop) ICECND,ICECND,W,N/A,4,N/A,F,MG1,25,ON,
McGuire 2,PWR,3411,1158,33.94898857,43.3,587,54.8,585,39.2,542,60.2,508,48.5,860,40.2,449,9300878,9612831,10316393,9502818,9149269,10368406,1983,NC,W (4-loop) ICECND,ICECND,W,N/A,4,N/A,F,MG2,26,ON,
Millstone 2,PWR,2700,869,32.18518519,28.3,582,9.14,326,13.5,367,10.3,618,10.4,2400,9.91,263,6919561,6690501,7238741,6147489,6781804,7450329,1975,CT,COMB CE DRYAMB,DRYAMB,COMB CE,N/A,2,N/A,S,ML2,27,ON,
Millstone 3,PWR,3650,1210,33.15068493,44.3,921,45.9,1640,50.4,1410,27.7,644,29.9,1380,55.5,1360,10296948,9024354,9494657,10734003,9717817,9125163,1986,CT,W (4-loop) DRYSUB,DRYSUB,W,N/A,4,N/A,S,ML3,28,ON,
North Anna 1,PWR,2940,913,31.05442177,7.43,505,11.2,913,20,976,9.49,646,16,890,20.5,1080,6919326,8468833,7850405,7603662,8492341,7629403,1978,VA,W (3-loop),DRYSUB,W,N/A,3,N/A,F,NA1,29,ON,
North Anna 2,PWR,2940,918,31.2244898,7.43,505,11.2,913,20,976,9.49,646,16,890,20.4,1080,8452320,7331070,7474134,8428869,7633746,7491974,1980,VA,W (3-loop),DRYSUB,W,N/A,3,N/A,F,NA2,30,ON,
Oconee 1,PWR,2568,847,32.98286604,63.1,359,34.9,339,51,314,52,325,34,345,44.4,380,7579868,6859973,7498643,6745635,7356782,6472061,1973,SC,B&W; (L-loop),DRYAMB,B&W,N/A,2,N/A,F,OC1,31,ON,
Oconee 2,PWR,2568,848,33.02180685,63.1,359,34.9,339,51,314,52,325,34,345,44.4,380,6981796,7670158,6798420,7581168,6869615,7609827,1973,SC,B&W; (L-loop),DRYAMB,B&W,N/A,2,N/A,F,OC2,32,ON,
Oconee 3,PWR,2568,859,33.45015576,63.1,359,34.9,339,51,314,52,325,34,345,44.4,380,7644799,7012136,7587618,6967442,7572347,7095215,1974,SC,B&W; (L-loop),DRYAMB,B&W,N/A,2,N/A,F,OC3,33,ON,
Palisades,PWR,2565,805,31.38401559,11,488,14,822,13,197,15.3,902,10.5,567,13.7,338,7014799,5995123,6865167,5455940,6097496,7045181,1971,MI,CE (2-loop) DRYAMB,DRYAMB,CE,N/A,2,N/A,F,PA1,34,RI,
Palo Verde 1,PWR,3990,1311,32.85714286,484,0,980,202,501,197,589,0,753,0,1050,0,11515959,9818477,10515168,11220879,10477955,10154373,1985,AZ,CE (2-loop) DRYAMB,DRYAMB,CE,N/A,2,N/A,W,PV1,35,RI,
Palo Verde 2,PWR,3990,1314,32.93233083,1100,0,558,202,387,197,908,0,686,0,251,0,10123959,10466373,11435511,9448932,10588602,11717178,1986,AZ,COMB CE80 DRYAMB,DRYAMB,COMB CE80,N/A,2,N/A,W,PV2,36,RI,
Palo Verde 3,PWR,3990,1312,32.88220551,1000,0,593,202,816,197,837,0,380,0,1050,0,9989944,11267583,9969689,10427448,11273581,10505926,1987,AZ,COMB CE80 DRYAMB,DRYAMB,COMB CE80,N/A,2,N/A,W,PV3,37,RI,
Point Beach 1,PWR,1800,591,32.83333333,34.6,447,43.5,412,35.1,315,47.1,491,98.2,882,32.2,259,5137279,4828765,4790446,5183249,4840409,4869227,1970,WI,W (2-loop) DRYAMB,DRYAMB,W,N/A,2,N/A,F,PB1,38,ON,
Point Beach 2,PWR,1800,591,32.83333333,34.6,447,43.5,412,35.1,315,47.1,491,98.2,882,32.2,259,4832911,4942568,5239859,4945873,4808570,5282167,1972,WI,W (2-loop) DRYAMB,DRYAMB,W,N/A,2,N/A,F,PB2,39,ON,
Prairie Island 1,PWR,1677,522,31.12701252,12.1,257,13.8,534,16.8,216,15.6,379,20.3,405,14.3,198,4785979,4337576,4772562,4190471,4564997,4207703,1973,MN,W (2-loop) DRYAMB,DRYAMB,W,N/A,2,N/A,F,PI1,40,ON/RI,
Prairie Island 2,PWR,1677,519,30.94812165,12.1,257,13.8,534,16.8,216,15.6,379,20.3,405,14.3,198,4313934,4746398,4367410,4792834,4179734,4055355,1974,MN,W (2-loop) DRYAMB,DRYAMB,W,N/A,2,N/A,F,PI2,41,ON/RI,
Robinson 2,PWR,2339,741,31.68020522,10.6,471,10.6,597,26.1,284,16.9,667,18,144,20.4,557,6426473,6124626,6376319,5276118,5925833,6432188,1970,SC,W (3-loop) DRYAMB,DRYAMB,W,N/A,3,N/A,F,RO2,42,RC,
Salem 1,PWR,3459,1169,33.79589477,227,484,293,637,237,992,188,478,374,514,340,647,10205299,7142172,7944369,10177507,9244745,6997238,1976,NJ,W (4-loop) DRYAMB,DRYAMB,W,N/A,4,N/A,S,SA1,43,ON,
Salem 2,PWR,3459,1158,33.47788378,227,410,143,611,109,446,226,812,229,589,145,501,8856743,9003389,9966009,8717600,8730429,8699415,1981,NJ,W (4-loop) DRYAMB,DRYAMB,W,N/A,4,N/A,S,SA2,44,ON,
Seabrook,PWR,3648,1244,34.10087719,85.6,1520,76.5,870,67.3,659,97.7,1650,74.4,1230,70,694,9856117,9865196,10906923,10061696,9990704,10761163,1990,NH,W (4-loop) DRYAMB,DRYAMB,W,N/A,4,N/A,S,SB1,45,ON,
Sequoyah 1,PWR,3455,1152,33.34298119,4.49,3.15,3.47,0,5.47,909,7.15,851,7.02,671,3.9,737,8865277,9846769,8189636,8916875,9402442,7647010,1980,TN,W (4-loop) ICECND,ICECND,W,N/A,4,N/A,F,SQ1,46,ON,
